Plate,Datetime,Status
BAA4777BAGHATI,2025-07-30 17:39:27,Unauthorized
E444777,2025-07-30 17:39:30,Unauthorized
B6647,2025-07-30 17:39:31,Unauthorized
30JUL2025053904PM,2025-07-30 17:39:31,Unauthorized
BAA4777,2025-07-30 17:39:32,Unauthorized
BAA4777W46IAT,2025-07-30 17:39:33,Unauthorized
BAA4777BAGMATI,2025-07-30 17:39:33,Unauthorized
BBAA47776AI,2025-07-30 17:39:34,Unauthorized
BAA4777QAGMATI,2025-07-30 17:39:35,Unauthorized
BAA4777AAGMAT,2025-07-30 17:39:36,Unauthorized
BAA4Z770AGMATI,2025-07-30 17:39:36,Unauthorized
BAA4777BAGMAII,2025-07-30 17:39:37,Unauthorized
BAA4777BAGMATA,2025-07-30 17:39:39,Unauthorized
BAA4Z77BAGMATI,2025-07-30 17:39:39,Unauthorized
30JUL202513PM,2025-07-30 17:39:40,Unauthorized
30JUL2025053913,2025-07-30 17:39:41,Unauthorized
30JUL202518PM,2025-07-30 17:39:42,Unauthorized
2025053918PM,2025-07-30 17:39:43,Unauthorized
BAA477,2025-07-30 17:39:44,Unauthorized
30JUL2025053918PM,2025-07-30 17:39:44,Unauthorized
FEED30JUL2025053918,2025-07-30 17:39:45,Unauthorized
104777,2025-07-30 17:39:48,Unauthorized
BAA4777BEGV,2025-07-30 17:39:49,Unauthorized
6AA777,2025-07-30 17:39:50,Unauthorized
8AA4777,2025-07-30 17:39:50,Unauthorized
2025053928PM,2025-07-30 17:39:52,Unauthorized
FEED30JUL2025053928,2025-07-30 17:39:52,Unauthorized
AA4777,2025-07-30 17:39:54,Unauthorized
3AAJOAGMATI4777,2025-07-30 17:39:56,Unauthorized
BAA4777AGMATI,2025-07-30 17:39:57,Unauthorized
BAA4777,2025-07-30 17:39:58,Unauthorized
3AA4777,2025-07-30 17:39:59,Unauthorized
3AA4777JOAGMATI,2025-07-30 17:40:01,Unauthorized
BAA47778AGMATI,2025-07-30 17:40:02,Unauthorized
BAA4777AOI,2025-07-30 17:40:04,Unauthorized
BAA4777BAGMATI,2025-07-30 17:40:05,Unauthorized
BAA4777B46V474,2025-07-30 17:40:06,Unauthorized
BAA4Z77BAGVATU,2025-07-30 17:40:09,Unauthorized
5AA4777BAGHAT,2025-07-30 17:40:09,Unauthorized
3AA4777BAGMATI,2025-07-30 17:40:12,Unauthorized
BAA4777E4U,2025-07-30 17:40:16,Unauthorized
BAA477794V4,2025-07-30 17:40:21,Unauthorized
